,path,company,year,quarter
2494,/home/aacastro/conferences_data/companies/T/2019/Q2,T,2019,Q2
2495,/home/aacastro/conferences_data/companies/T/2019/Q1,T,2019,Q1
2496,/home/aacastro/conferences_data/companies/T/2019/Q3,T,2019,Q3
2497,/home/aacastro/conferences_data/companies/T/2024/Q2,T,2024,Q2
2498,/home/aacastro/conferences_data/companies/T/2024/Q1,T,2024,Q1
2499,/home/aacastro/conferences_data/companies/T/2023/Q4,T,2023,Q4
2500,/home/aacastro/conferences_data/companies/T/2023/Q2,T,2023,Q2
2501,/home/aacastro/conferences_data/companies/T/2023/Q1,T,2023,Q1
2502,/home/aacastro/conferences_data/companies/T/2023/Q3,T,2023,Q3
2503,/home/aacastro/conferences_data/companies/T/2021/Q4,T,2021,Q4
2504,/home/aacastro/conferences_data/companies/T/2021/Q2,T,2021,Q2
2505,/home/aacastro/conferences_data/companies/T/2021/Q1,T,2021,Q1
2506,/home/aacastro/conferences_data/companies/T/2021/Q3,T,2021,Q3
2507,/home/aacastro/conferences_data/companies/T/2018/Q4,T,2018,Q4
2508,/home/aacastro/conferences_data/companies/T/2020/Q4,T,2020,Q4
2509,/home/aacastro/conferences_data/companies/T/2020/Q2,T,2020,Q2
2510,/home/aacastro/conferences_data/companies/T/2020/Q1,T,2020,Q1
2511,/home/aacastro/conferences_data/companies/T/2020/Q3,T,2020,Q3
2512,/home/aacastro/conferences_data/companies/T/2022/Q4,T,2022,Q4
2513,/home/aacastro/conferences_data/companies/T/2022/Q2,T,2022,Q2
2514,/home/aacastro/conferences_data/companies/T/2022/Q1,T,2022,Q1
2515,/home/aacastro/conferences_data/companies/T/2022/Q3,T,2022,Q3
2516,/home/aacastro/conferences_data/companies/ABBV/2019/Q2,ABBV,2019,Q2
2517,/home/aacastro/conferences_data/companies/ABBV/2019/Q1,ABBV,2019,Q1
2518,/home/aacastro/conferences_data/companies/ABBV/2019/Q3,ABBV,2019,Q3
2519,/home/aacastro/conferences_data/companies/ABBV/2024/Q2,ABBV,2024,Q2
2520,/home/aacastro/conferences_data/companies/ABBV/2024/Q1,ABBV,2024,Q1
2521,/home/aacastro/conferences_data/companies/ABBV/2024/Q3,ABBV,2024,Q3
2522,/home/aacastro/conferences_data/companies/ABBV/2023/Q4,ABBV,2023,Q4
2523,/home/aacastro/conferences_data/companies/ABBV/2023/Q1,ABBV,2023,Q1
2524,/home/aacastro/conferences_data/companies/ABBV/2023/Q3,ABBV,2023,Q3
2525,/home/aacastro/conferences_data/companies/ABBV/2021/Q4,ABBV,2021,Q4
2526,/home/aacastro/conferences_data/companies/ABBV/2021/Q2,ABBV,2021,Q2
2527,/home/aacastro/conferences_data/companies/ABBV/2021/Q1,ABBV,2021,Q1
2528,/home/aacastro/conferences_data/companies/ABBV/2021/Q3,ABBV,2021,Q3
2529,/home/aacastro/conferences_data/companies/ABBV/2020/Q2,ABBV,2020,Q2
2530,/home/aacastro/conferences_data/companies/ABBV/2020/Q3,ABBV,2020,Q3
2531,/home/aacastro/conferences_data/companies/ABBV/2022/Q4,ABBV,2022,Q4
2532,/home/aacastro/conferences_data/companies/ABBV/2022/Q2,ABBV,2022,Q2
2533,/home/aacastro/conferences_data/companies/ABBV/2022/Q1,ABBV,2022,Q1
2534,/home/aacastro/conferences_data/companies/ABBV/2022/Q3,ABBV,2022,Q3
2535,/home/aacastro/conferences_data/companies/UPS/2024/Q2,UPS,2024,Q2
2536,/home/aacastro/conferences_data/companies/UPS/2024/Q1,UPS,2024,Q1
2537,/home/aacastro/conferences_data/companies/UPS/2024/Q3,UPS,2024,Q3
2538,/home/aacastro/conferences_data/companies/UPS/2023/Q4,UPS,2023,Q4
2539,/home/aacastro/conferences_data/companies/UPS/2023/Q2,UPS,2023,Q2
2540,/home/aacastro/conferences_data/companies/UPS/2023/Q1,UPS,2023,Q1
2541,/home/aacastro/conferences_data/companies/UPS/2023/Q3,UPS,2023,Q3
2542,/home/aacastro/conferences_data/companies/UPS/2021/Q4,UPS,2021,Q4
2543,/home/aacastro/conferences_data/companies/UPS/2021/Q2,UPS,2021,Q2
2544,/home/aacastro/conferences_data/companies/UPS/2021/Q1,UPS,2021,Q1
2545,/home/aacastro/conferences_data/companies/UPS/2021/Q3,UPS,2021,Q3
2546,/home/aacastro/conferences_data/companies/UPS/2020/Q4,UPS,2020,Q4
2547,/home/aacastro/conferences_data/companies/UPS/2020/Q3,UPS,2020,Q3
2548,/home/aacastro/conferences_data/companies/UPS/2022/Q2,UPS,2022,Q2
2549,/home/aacastro/conferences_data/companies/UPS/2022/Q1,UPS,2022,Q1
2550,/home/aacastro/conferences_data/companies/UPS/2022/Q3,UPS,2022,Q3
2551,/home/aacastro/conferences_data/companies/ORLY/2024/Q2,ORLY,2024,Q2
2552,/home/aacastro/conferences_data/companies/ORLY/2024/Q1,ORLY,2024,Q1
2553,/home/aacastro/conferences_data/companies/ORLY/2024/Q3,ORLY,2024,Q3
2554,/home/aacastro/conferences_data/companies/ORLY/2023/Q4,ORLY,2023,Q4
2555,/home/aacastro/conferences_data/companies/ORLY/2023/Q2,ORLY,2023,Q2
2556,/home/aacastro/conferences_data/companies/ORLY/2023/Q1,ORLY,2023,Q1
2557,/home/aacastro/conferences_data/companies/ORLY/2023/Q3,ORLY,2023,Q3
2558,/home/aacastro/conferences_data/companies/ORLY/2021/Q4,ORLY,2021,Q4
2559,/home/aacastro/conferences_data/companies/ORLY/2021/Q2,ORLY,2021,Q2
2560,/home/aacastro/conferences_data/companies/ORLY/2021/Q1,ORLY,2021,Q1
2561,/home/aacastro/conferences_data/companies/ORLY/2021/Q3,ORLY,2021,Q3
2562,/home/aacastro/conferences_data/companies/ORLY/2020/Q4,ORLY,2020,Q4
2563,/home/aacastro/conferences_data/companies/ORLY/2020/Q3,ORLY,2020,Q3
2564,/home/aacastro/conferences_data/companies/ORLY/2022/Q4,ORLY,2022,Q4
2565,/home/aacastro/conferences_data/companies/ORLY/2022/Q2,ORLY,2022,Q2
2566,/home/aacastro/conferences_data/companies/ORLY/2022/Q1,ORLY,2022,Q1
2567,/home/aacastro/conferences_data/companies/ORLY/2022/Q3,ORLY,2022,Q3
2568,/home/aacastro/conferences_data/companies/MCK/2024/Q4,MCK,2024,Q4
2569,/home/aacastro/conferences_data/companies/MCK/2024/Q2,MCK,2024,Q2
2570,/home/aacastro/conferences_data/companies/MCK/2024/Q1,MCK,2024,Q1
2571,/home/aacastro/conferences_data/companies/MCK/2024/Q3,MCK,2024,Q3
2572,/home/aacastro/conferences_data/companies/MCK/2023/Q4,MCK,2023,Q4
2573,/home/aacastro/conferences_data/companies/MCK/2023/Q1,MCK,2023,Q1
2574,/home/aacastro/conferences_data/companies/MCK/2023/Q3,MCK,2023,Q3
2575,/home/aacastro/conferences_data/companies/MCK/2021/Q4,MCK,2021,Q4
2576,/home/aacastro/conferences_data/companies/MCK/2021/Q3,MCK,2021,Q3
2577,/home/aacastro/conferences_data/companies/MCK/2025/Q2,MCK,2025,Q2
2578,/home/aacastro/conferences_data/companies/MCK/2025/Q1,MCK,2025,Q1
2579,/home/aacastro/conferences_data/companies/MCK/2022/Q4,MCK,2022,Q4
2580,/home/aacastro/conferences_data/companies/MCK/2022/Q2,MCK,2022,Q2
2581,/home/aacastro/conferences_data/companies/MCK/2022/Q1,MCK,2022,Q1
2582,/home/aacastro/conferences_data/companies/MCK/2022/Q3,MCK,2022,Q3
2583,/home/aacastro/conferences_data/companies/WFC/2019/Q4,WFC,2019,Q4
2584,/home/aacastro/conferences_data/companies/WFC/2019/Q2,WFC,2019,Q2
2585,/home/aacastro/conferences_data/companies/WFC/2019/Q1,WFC,2019,Q1
2586,/home/aacastro/conferences_data/companies/WFC/2019/Q3,WFC,2019,Q3
2587,/home/aacastro/conferences_data/companies/WFC/2024/Q2,WFC,2024,Q2
2588,/home/aacastro/conferences_data/companies/WFC/2024/Q1,WFC,2024,Q1
2589,/home/aacastro/conferences_data/companies/WFC/2024/Q3,WFC,2024,Q3
2590,/home/aacastro/conferences_data/companies/WFC/2023/Q2,WFC,2023,Q2
2591,/home/aacastro/conferences_data/companies/WFC/2023/Q3,WFC,2023,Q3
2592,/home/aacastro/conferences_data/companies/WFC/2021/Q4,WFC,2021,Q4
2593,/home/aacastro/conferences_data/companies/WFC/2021/Q2,WFC,2021,Q2
2594,/home/aacastro/conferences_data/companies/WFC/2021/Q1,WFC,2021,Q1
2595,/home/aacastro/conferences_data/companies/WFC/2021/Q3,WFC,2021,Q3
2596,/home/aacastro/conferences_data/companies/WFC/2020/Q4,WFC,2020,Q4
2597,/home/aacastro/conferences_data/companies/WFC/2020/Q1,WFC,2020,Q1
2598,/home/aacastro/conferences_data/companies/WFC/2020/Q3,WFC,2020,Q3
2599,/home/aacastro/conferences_data/companies/WFC/2022/Q4,WFC,2022,Q4
2600,/home/aacastro/conferences_data/companies/WFC/2022/Q2,WFC,2022,Q2
2601,/home/aacastro/conferences_data/companies/WFC/2022/Q1,WFC,2022,Q1
2602,/home/aacastro/conferences_data/companies/WFC/2022/Q3,WFC,2022,Q3
2603,/home/aacastro/conferences_data/companies/LOW/2019/Q2,LOW,2019,Q2
2604,/home/aacastro/conferences_data/companies/LOW/2019/Q1,LOW,2019,Q1
2605,/home/aacastro/conferences_data/companies/LOW/2019/Q3,LOW,2019,Q3
2606,/home/aacastro/conferences_data/companies/LOW/2024/Q3,LOW,2024,Q3
2607,/home/aacastro/conferences_data/companies/LOW/2023/Q3,LOW,2023,Q3
2608,/home/aacastro/conferences_data/companies/LOW/2021/Q2,LOW,2021,Q2
2609,/home/aacastro/conferences_data/companies/LOW/2020/Q4,LOW,2020,Q4
2610,/home/aacastro/conferences_data/companies/LOW/2020/Q2,LOW,2020,Q2
2611,/home/aacastro/conferences_data/companies/LOW/2020/Q1,LOW,2020,Q1
2612,/home/aacastro/conferences_data/companies/LOW/2022/Q4,LOW,2022,Q4
2613,/home/aacastro/conferences_data/companies/CCI/2019/Q4,CCI,2019,Q4
2614,/home/aacastro/conferences_data/companies/CCI/2019/Q1,CCI,2019,Q1
2615,/home/aacastro/conferences_data/companies/CCI/2019/Q3,CCI,2019,Q3
2616,/home/aacastro/conferences_data/companies/CCI/2024/Q2,CCI,2024,Q2
2617,/home/aacastro/conferences_data/companies/CCI/2024/Q1,CCI,2024,Q1
2618,/home/aacastro/conferences_data/companies/CCI/2024/Q3,CCI,2024,Q3
2619,/home/aacastro/conferences_data/companies/CCI/2023/Q4,CCI,2023,Q4
2620,/home/aacastro/conferences_data/companies/CCI/2023/Q2,CCI,2023,Q2
2621,/home/aacastro/conferences_data/companies/CCI/2023/Q1,CCI,2023,Q1
2622,/home/aacastro/conferences_data/companies/CCI/2023/Q3,CCI,2023,Q3
2623,/home/aacastro/conferences_data/companies/CCI/2021/Q4,CCI,2021,Q4
2624,/home/aacastro/conferences_data/companies/CCI/2021/Q2,CCI,2021,Q2
2625,/home/aacastro/conferences_data/companies/CCI/2021/Q1,CCI,2021,Q1
2626,/home/aacastro/conferences_data/companies/CCI/2021/Q3,CCI,2021,Q3
2627,/home/aacastro/conferences_data/companies/CCI/2020/Q4,CCI,2020,Q4
2628,/home/aacastro/conferences_data/companies/CCI/2022/Q4,CCI,2022,Q4
2629,/home/aacastro/conferences_data/companies/CCI/2022/Q2,CCI,2022,Q2
2630,/home/aacastro/conferences_data/companies/CCI/2022/Q1,CCI,2022,Q1
2631,/home/aacastro/conferences_data/companies/CCI/2022/Q3,CCI,2022,Q3
2632,/home/aacastro/conferences_data/companies/MDLZ/2019/Q4,MDLZ,2019,Q4
2633,/home/aacastro/conferences_data/companies/MDLZ/2019/Q2,MDLZ,2019,Q2
2634,/home/aacastro/conferences_data/companies/MDLZ/2019/Q3,MDLZ,2019,Q3
2635,/home/aacastro/conferences_data/companies/MDLZ/2024/Q2,MDLZ,2024,Q2
2636,/home/aacastro/conferences_data/companies/MDLZ/2024/Q3,MDLZ,2024,Q3
2637,/home/aacastro/conferences_data/companies/MDLZ/2023/Q4,MDLZ,2023,Q4
2638,/home/aacastro/conferences_data/companies/MDLZ/2023/Q2,MDLZ,2023,Q2
2639,/home/aacastro/conferences_data/companies/MDLZ/2023/Q1,MDLZ,2023,Q1
2640,/home/aacastro/conferences_data/companies/MDLZ/2023/Q3,MDLZ,2023,Q3
2641,/home/aacastro/conferences_data/companies/MDLZ/2021/Q4,MDLZ,2021,Q4
2642,/home/aacastro/conferences_data/companies/MDLZ/2021/Q2,MDLZ,2021,Q2
2643,/home/aacastro/conferences_data/companies/MDLZ/2021/Q1,MDLZ,2021,Q1
2644,/home/aacastro/conferences_data/companies/MDLZ/2021/Q3,MDLZ,2021,Q3
2645,/home/aacastro/conferences_data/companies/MDLZ/2020/Q4,MDLZ,2020,Q4
2646,/home/aacastro/conferences_data/companies/MDLZ/2020/Q2,MDLZ,2020,Q2
2647,/home/aacastro/conferences_data/companies/MDLZ/2022/Q4,MDLZ,2022,Q4
2648,/home/aacastro/conferences_data/companies/MDLZ/2022/Q2,MDLZ,2022,Q2
2649,/home/aacastro/conferences_data/companies/MDLZ/2022/Q1,MDLZ,2022,Q1
2650,/home/aacastro/conferences_data/companies/VST/2024/Q1,VST,2024,Q1
2651,/home/aacastro/conferences_data/companies/VST/2024/Q3,VST,2024,Q3
2652,/home/aacastro/conferences_data/companies/VST/2023/Q4,VST,2023,Q4
2653,/home/aacastro/conferences_data/companies/VST/2023/Q2,VST,2023,Q2
2654,/home/aacastro/conferences_data/companies/VST/2023/Q1,VST,2023,Q1
2655,/home/aacastro/conferences_data/companies/VST/2023/Q3,VST,2023,Q3
2656,/home/aacastro/conferences_data/companies/VST/2021/Q4,VST,2021,Q4
2657,/home/aacastro/conferences_data/companies/VST/2021/Q2,VST,2021,Q2
2658,/home/aacastro/conferences_data/companies/VST/2021/Q3,VST,2021,Q3
2659,/home/aacastro/conferences_data/companies/VST/2020/Q4,VST,2020,Q4
2660,/home/aacastro/conferences_data/companies/VST/2020/Q3,VST,2020,Q3
2661,/home/aacastro/conferences_data/companies/VST/2022/Q4,VST,2022,Q4
2662,/home/aacastro/conferences_data/companies/VST/2022/Q2,VST,2022,Q2
2663,/home/aacastro/conferences_data/companies/VST/2022/Q1,VST,2022,Q1
2664,/home/aacastro/conferences_data/companies/VST/2022/Q3,VST,2022,Q3
2665,/home/aacastro/conferences_data/companies/RTX/2019/Q4,RTX,2019,Q4
2666,/home/aacastro/conferences_data/companies/RTX/2019/Q2,RTX,2019,Q2
2667,/home/aacastro/conferences_data/companies/RTX/2019/Q1,RTX,2019,Q1
2668,/home/aacastro/conferences_data/companies/RTX/2019/Q3,RTX,2019,Q3
2669,/home/aacastro/conferences_data/companies/RTX/2024/Q2,RTX,2024,Q2
2670,/home/aacastro/conferences_data/companies/RTX/2024/Q1,RTX,2024,Q1
2671,/home/aacastro/conferences_data/companies/RTX/2024/Q3,RTX,2024,Q3
2672,/home/aacastro/conferences_data/companies/RTX/2023/Q4,RTX,2023,Q4
2673,/home/aacastro/conferences_data/companies/RTX/2023/Q2,RTX,2023,Q2
2674,/home/aacastro/conferences_data/companies/RTX/2023/Q1,RTX,2023,Q1
2675,/home/aacastro/conferences_data/companies/RTX/2023/Q3,RTX,2023,Q3
2676,/home/aacastro/conferences_data/companies/RTX/2021/Q4,RTX,2021,Q4
2677,/home/aacastro/conferences_data/companies/RTX/2021/Q2,RTX,2021,Q2
2678,/home/aacastro/conferences_data/companies/RTX/2021/Q1,RTX,2021,Q1
2679,/home/aacastro/conferences_data/companies/RTX/2021/Q3,RTX,2021,Q3
2680,/home/aacastro/conferences_data/companies/RTX/2020/Q4,RTX,2020,Q4
2681,/home/aacastro/conferences_data/companies/RTX/2020/Q2,RTX,2020,Q2
2682,/home/aacastro/conferences_data/companies/RTX/2020/Q1,RTX,2020,Q1
2683,/home/aacastro/conferences_data/companies/RTX/2020/Q3,RTX,2020,Q3
2684,/home/aacastro/conferences_data/companies/RTX/2022/Q4,RTX,2022,Q4
2685,/home/aacastro/conferences_data/companies/RTX/2022/Q2,RTX,2022,Q2
2686,/home/aacastro/conferences_data/companies/RTX/2022/Q1,RTX,2022,Q1
2687,/home/aacastro/conferences_data/companies/RTX/2022/Q3,RTX,2022,Q3
2688,/home/aacastro/conferences_data/companies/TSLA/2019/Q4,TSLA,2019,Q4
2689,/home/aacastro/conferences_data/companies/TSLA/2019/Q2,TSLA,2019,Q2
2690,/home/aacastro/conferences_data/companies/TSLA/2019/Q1,TSLA,2019,Q1
2691,/home/aacastro/conferences_data/companies/TSLA/2019/Q3,TSLA,2019,Q3
2692,/home/aacastro/conferences_data/companies/TSLA/2024/Q2,TSLA,2024,Q2
2693,/home/aacastro/conferences_data/companies/TSLA/2024/Q1,TSLA,2024,Q1
2694,/home/aacastro/conferences_data/companies/TSLA/2024/Q3,TSLA,2024,Q3
2695,/home/aacastro/conferences_data/companies/TSLA/2023/Q4,TSLA,2023,Q4
2696,/home/aacastro/conferences_data/companies/TSLA/2023/Q2,TSLA,2023,Q2
2697,/home/aacastro/conferences_data/companies/TSLA/2023/Q1,TSLA,2023,Q1
2698,/home/aacastro/conferences_data/companies/TSLA/2023/Q3,TSLA,2023,Q3
2699,/home/aacastro/conferences_data/companies/TSLA/2021/Q4,TSLA,2021,Q4
2700,/home/aacastro/conferences_data/companies/TSLA/2021/Q2,TSLA,2021,Q2
2701,/home/aacastro/conferences_data/companies/TSLA/2021/Q1,TSLA,2021,Q1
2702,/home/aacastro/conferences_data/companies/TSLA/2021/Q3,TSLA,2021,Q3
2703,/home/aacastro/conferences_data/companies/TSLA/2018/Q4,TSLA,2018,Q4
2704,/home/aacastro/conferences_data/companies/TSLA/2018/Q2,TSLA,2018,Q2
2705,/home/aacastro/conferences_data/companies/TSLA/2018/Q1,TSLA,2018,Q1
2706,/home/aacastro/conferences_data/companies/TSLA/2018/Q3,TSLA,2018,Q3
2707,/home/aacastro/conferences_data/companies/TSLA/2020/Q4,TSLA,2020,Q4
2708,/home/aacastro/conferences_data/companies/TSLA/2020/Q2,TSLA,2020,Q2
2709,/home/aacastro/conferences_data/companies/TSLA/2020/Q1,TSLA,2020,Q1
2710,/home/aacastro/conferences_data/companies/TSLA/2020/Q3,TSLA,2020,Q3
2711,/home/aacastro/conferences_data/companies/TSLA/2022/Q4,TSLA,2022,Q4
2712,/home/aacastro/conferences_data/companies/TSLA/2022/Q2,TSLA,2022,Q2
2713,/home/aacastro/conferences_data/companies/TSLA/2022/Q1,TSLA,2022,Q1
2714,/home/aacastro/conferences_data/companies/TSLA/2022/Q3,TSLA,2022,Q3
2715,/home/aacastro/conferences_data/companies/HAL/2024/Q2,HAL,2024,Q2
2716,/home/aacastro/conferences_data/companies/HAL/2024/Q3,HAL,2024,Q3
2717,/home/aacastro/conferences_data/companies/HAL/2023/Q4,HAL,2023,Q4
2718,/home/aacastro/conferences_data/companies/HAL/2023/Q2,HAL,2023,Q2
2719,/home/aacastro/conferences_data/companies/HAL/2023/Q1,HAL,2023,Q1
2720,/home/aacastro/conferences_data/companies/HAL/2023/Q3,HAL,2023,Q3
2721,/home/aacastro/conferences_data/companies/HAL/2021/Q4,HAL,2021,Q4
2722,/home/aacastro/conferences_data/companies/HAL/2021/Q2,HAL,2021,Q2
2723,/home/aacastro/conferences_data/companies/HAL/2021/Q1,HAL,2021,Q1
2724,/home/aacastro/conferences_data/companies/HAL/2021/Q3,HAL,2021,Q3
2725,/home/aacastro/conferences_data/companies/HAL/2020/Q4,HAL,2020,Q4
2726,/home/aacastro/conferences_data/companies/HAL/2022/Q4,HAL,2022,Q4
2727,/home/aacastro/conferences_data/companies/HAL/2022/Q2,HAL,2022,Q2
2728,/home/aacastro/conferences_data/companies/HAL/2022/Q3,HAL,2022,Q3
2729,/home/aacastro/conferences_data/companies/HLT/2024/Q2,HLT,2024,Q2
2730,/home/aacastro/conferences_data/companies/HLT/2024/Q1,HLT,2024,Q1
2731,/home/aacastro/conferences_data/companies/HLT/2024/Q3,HLT,2024,Q3
2732,/home/aacastro/conferences_data/companies/HLT/2023/Q4,HLT,2023,Q4
2733,/home/aacastro/conferences_data/companies/HLT/2023/Q2,HLT,2023,Q2
2734,/home/aacastro/conferences_data/companies/HLT/2023/Q1,HLT,2023,Q1
2735,/home/aacastro/conferences_data/companies/HLT/2023/Q3,HLT,2023,Q3
2736,/home/aacastro/conferences_data/companies/HLT/2021/Q4,HLT,2021,Q4
2737,/home/aacastro/conferences_data/companies/HLT/2021/Q2,HLT,2021,Q2
2738,/home/aacastro/conferences_data/companies/HLT/2021/Q1,HLT,2021,Q1
2739,/home/aacastro/conferences_data/companies/HLT/2021/Q3,HLT,2021,Q3
2740,/home/aacastro/conferences_data/companies/HLT/2020/Q4,HLT,2020,Q4
2741,/home/aacastro/conferences_data/companies/HLT/2022/Q4,HLT,2022,Q4
2742,/home/aacastro/conferences_data/companies/HLT/2022/Q2,HLT,2022,Q2
2743,/home/aacastro/conferences_data/companies/HLT/2022/Q1,HLT,2022,Q1
2744,/home/aacastro/conferences_data/companies/HLT/2022/Q3,HLT,2022,Q3
2745,/home/aacastro/conferences_data/companies/SPG/2024/Q2,SPG,2024,Q2
2746,/home/aacastro/conferences_data/companies/SPG/2024/Q1,SPG,2024,Q1
2747,/home/aacastro/conferences_data/companies/SPG/2024/Q3,SPG,2024,Q3
2748,/home/aacastro/conferences_data/companies/SPG/2023/Q4,SPG,2023,Q4
2749,/home/aacastro/conferences_data/companies/SPG/2023/Q1,SPG,2023,Q1
2750,/home/aacastro/conferences_data/companies/SPG/2023/Q3,SPG,2023,Q3
2751,/home/aacastro/conferences_data/companies/SPG/2021/Q4,SPG,2021,Q4
2752,/home/aacastro/conferences_data/companies/SPG/2021/Q2,SPG,2021,Q2
2753,/home/aacastro/conferences_data/companies/SPG/2021/Q1,SPG,2021,Q1
2754,/home/aacastro/conferences_data/companies/SPG/2021/Q3,SPG,2021,Q3
2755,/home/aacastro/conferences_data/companies/SPG/2022/Q2,SPG,2022,Q2
2756,/home/aacastro/conferences_data/companies/SPG/2022/Q1,SPG,2022,Q1
2757,/home/aacastro/conferences_data/companies/SPG/2022/Q3,SPG,2022,Q3
2758,/home/aacastro/conferences_data/companies/BAC/2019/Q4,BAC,2019,Q4
2759,/home/aacastro/conferences_data/companies/BAC/2019/Q2,BAC,2019,Q2
2760,/home/aacastro/conferences_data/companies/BAC/2019/Q1,BAC,2019,Q1
2761,/home/aacastro/conferences_data/companies/BAC/2019/Q3,BAC,2019,Q3
2762,/home/aacastro/conferences_data/companies/BAC/2024/Q1,BAC,2024,Q1
2763,/home/aacastro/conferences_data/companies/BAC/2024/Q3,BAC,2024,Q3
2764,/home/aacastro/conferences_data/companies/BAC/2023/Q4,BAC,2023,Q4
2765,/home/aacastro/conferences_data/companies/BAC/2023/Q2,BAC,2023,Q2
2766,/home/aacastro/conferences_data/companies/BAC/2023/Q1,BAC,2023,Q1
2767,/home/aacastro/conferences_data/companies/BAC/2023/Q3,BAC,2023,Q3
2768,/home/aacastro/conferences_data/companies/BAC/2021/Q4,BAC,2021,Q4
2769,/home/aacastro/conferences_data/companies/BAC/2021/Q2,BAC,2021,Q2
2770,/home/aacastro/conferences_data/companies/BAC/2021/Q1,BAC,2021,Q1
2771,/home/aacastro/conferences_data/companies/BAC/2021/Q3,BAC,2021,Q3
2772,/home/aacastro/conferences_data/companies/BAC/2020/Q4,BAC,2020,Q4
2773,/home/aacastro/conferences_data/companies/BAC/2020/Q2,BAC,2020,Q2
2774,/home/aacastro/conferences_data/companies/BAC/2020/Q1,BAC,2020,Q1
2775,/home/aacastro/conferences_data/companies/BAC/2020/Q3,BAC,2020,Q3
2776,/home/aacastro/conferences_data/companies/BAC/2022/Q4,BAC,2022,Q4
2777,/home/aacastro/conferences_data/companies/BAC/2022/Q2,BAC,2022,Q2
2778,/home/aacastro/conferences_data/companies/BAC/2022/Q1,BAC,2022,Q1
2779,/home/aacastro/conferences_data/companies/BAC/2022/Q3,BAC,2022,Q3
2780,/home/aacastro/conferences_data/companies/SPGI/2019/Q4,SPGI,2019,Q4
2781,/home/aacastro/conferences_data/companies/SPGI/2019/Q2,SPGI,2019,Q2
2782,/home/aacastro/conferences_data/companies/SPGI/2019/Q1,SPGI,2019,Q1
2783,/home/aacastro/conferences_data/companies/SPGI/2019/Q3,SPGI,2019,Q3
2784,/home/aacastro/conferences_data/companies/SPGI/2024/Q2,SPGI,2024,Q2
2785,/home/aacastro/conferences_data/companies/SPGI/2024/Q1,SPGI,2024,Q1
2786,/home/aacastro/conferences_data/companies/SPGI/2024/Q3,SPGI,2024,Q3
2787,/home/aacastro/conferences_data/companies/SPGI/2023/Q4,SPGI,2023,Q4
2788,/home/aacastro/conferences_data/companies/SPGI/2023/Q2,SPGI,2023,Q2
2789,/home/aacastro/conferences_data/companies/SPGI/2023/Q1,SPGI,2023,Q1
2790,/home/aacastro/conferences_data/companies/SPGI/2023/Q3,SPGI,2023,Q3
